UNITID,EFFYLEV,LSTUDY,XFYRAC01,FYRACE01,XFYRAC02,FYRACE02,XFYRAC03,FYRACE03,XFYRAC04,FYRACE04,XFYRAC05,FYRACE05,XFYRAC06,FYRACE06,XFYRAC07,FYRACE07,XFYRAC08,FYRACE08,XFYRAC09,FYRACE09,XFYRAC10,FYRACE10,XFYRAC11,FYRACE11,XFYRAC12,FYRACE12,XFYRAC13,FYRACE13,XFYRAC14,FYRACE14,XFYRAC15,FYRACE15,XFYRAC16,FYRACE16,XFYRAC17,FYRACE17,XFYRAC18,FYRACE18,XFYRAC19,FYRACE19,XFYRAC20,FYRACE20,XFYRAC21,FYRACE21,XFYRAC22,FYRACE22,XFYRAC23,FYRACE23,XFYRAC24,FYRACE24
101453,4,  3,"R",6,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",18,"Z",0,"Z",0,"Z",0,"R",26,"Z",0,"R",6,"R",1,"Z",0,"R",1,"Z",0,"R",18,"Z",0,"R",26
101462,1,999,"Z",0,"Z",0,"R",234,"R",357,"R",1,"R",2,"R",7,"R",2,"R",12,"R",5,"R",241,"R",144,"R",15,"R",20,"R",510,"R",530,"Z",0,"R",591,"R",3,"R",9,"R",17,"R",385,"R",35,"R",1040
101462,2,  1,"Z",0,"Z",0,"R",234,"R",357,"R",1,"R",2,"R",7,"R",2,"R",12,"R",5,"R",241,"R",144,"R",15,"R",20,"R",510,"R",530,"Z",0,"R",591,"R",3,"R",9,"R",17,"R",385,"R",35,"R",1040
101471,1,999,"Z",0,"Z",0,"R",848,"R",109,"Z",0,"Z",0,"R",4,"R",5,"R",18,"R",1,"R",399,"R",186,"R",2,"Z",0,"R",1271,"R",301,"Z",0,"R",957,"Z",0,"R",9,"R",19,"R",585,"R",2,"R",1572
101471,2,  1,"Z",0,"Z",0,"R",848,"R",109,"Z",0,"Z",0,"R",4,"R",5,"R",18,"R",1,"R",399,"R",186,"R",2,"Z",0,"R",1271,"R",301,"Z",0,"R",957,"Z",0,"R",9,"R",19,"R",585,"R",2,"R",1572
101480,1,999,"R",33,"R",47,"R",987,"R",1426,"R",26,"R",52,"R",59,"R",55,"R",42,"R",78,"R",3175,"R",4464,"R",179,"R",246,"R",4501,"R",6368,"R",80,"R",2413,"R",78,"R",114,"R",120,"R",7639,"R",425,"R",10869
101480,2,  1,"R",26,"R",40,"R",829,"R",1077,"R",19,"R",42,"R",51,"R",50,"R",29,"R",68,"R",2554,"R",3290,"R",131,"R",167,"R",3639,"R",4734,"R",66,"R",1906,"R",61,"R",101,"R",97,"R",5844,"R",298,"R",8373
101480,4,  3,"R",7,"R",7,"R",158,"R",349,"R",7,"R",10,"R",8,"R",5,"R",13,"R",10,"R",621,"R",1174,"R",48,"R",79,"R",862,"R",1634,"R",14,"R",507,"R",17,"R",13,"R",23,"R",1795,"R",127,"R",2496
101499,1,999,"Z",0,"Z",0,"R",321,"R",244,"R",18,"R",41,"R",2,"R",4,"R",11,"R",4,"R",421,"R",605,"R",55,"R",21,"R",828,"R",919,"Z",0,"R",565,"R",59,"R",6,"R",15,"R",1026,"R",76,"R",1747
101499,2,  1,"Z",0,"Z",0,"R",321,"R",244,"R",18,"R",41,"R",2,"R",4,"R",11,"R",4,"R",421,"R",605,"R",55,"R",21,"R",828,"R",919,"Z",0,"R",565,"R",59,"R",6,"R",15,"R",1026,"R",76,"R",1747
101505,1,999,"R",87,"R",67,"R",567,"R",1718,"R",20,"R",20,"R",77,"R",114,"R",64,"R",95,"R",3443,"R",5008,"R",50,"R",95,"R",4308,"R",7117,"R",154,"R",2285,"R",40,"R",191,"R",159,"R",8451,"R",145,"R",11425
101505,2,  1,"R",87,"R",67,"R",567,"R",1718,"R",20,"R",20,"R",77,"R",114,"R",64,"R",95,"R",3443,"R",5008,"R",50,"R",95,"R",4308,"R",7117,"R",154,"R",2285,"R",40,"R",191,"R",159,"R",8451,"R",145,"R",11425
101514,1,999,"Z",0,"Z",0,"R",892,"R",1588,"R",171,"R",239,"R",86,"R",126,"R",90,"R",128,"R",4094,"R",5150,"R",67,"R",66,"R",5400,"R",7297,"Z",0,"R",2480,"R",410,"R",212,"R",218,"R",9244,"R",133,"R",12697
101514,2,  1,"Z",0,"Z",0,"R",892,"R",1588,"R",171,"R",239,"R",86,"R",126,"R",90,"R",128,"R",4094,"R",5150,"R",67,"R",66,"R",5400,"R",7297,"Z",0,"R",2480,"R",410,"R",212,"R",218,"R",9244,"R",133,"R",12697
101541,1,999,"Z",0,"R",3,"R",4,"R",55,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",4,"R",19,"R",316,"Z",0,"Z",0,"R",23,"R",379,"R",3,"R",59,"Z",0,"R",1,"R",4,"R",335,"Z",0,"R",402
101541,2,  1,"Z",0,"R",3,"R",4,"R",55,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",4,"R",19,"R",316,"Z",0,"Z",0,"R",23,"R",379,"R",3,"R",59,"Z",0,"R",1,"R",4,"R",335,"Z",0,"R",402
101569,1,999,"Z",0,"Z",0,"R",1270,"R",2987,"R",5,"R",3,"R",12,"R",8,"R",9,"R",5,"R",498,"R",292,"R",40,"R",36,"R",1834,"R",3331,"Z",0,"R",4257,"R",8,"R",20,"R",14,"R",790,"R",76,"R",5165
101569,2,  1,"Z",0,"Z",0,"R",1270,"R",2987,"R",5,"R",3,"R",12,"R",8,"R",9,"R",5,"R",498,"R",292,"R",40,"R",36,"R",1834,"R",3331,"Z",0,"R",4257,"R",8,"R",20,"R",14,"R",790,"R",76,"R",5165
101587,1,999,"R",16,"R",21,"R",471,"R",1336,"R",8,"R",16,"R",12,"R",18,"R",9,"R",30,"R",806,"R",1689,"Z",0,"Z",0,"R",1322,"R",3110,"R",37,"R",1807,"R",24,"R",30,"R",39,"R",2495,"Z",0,"R",4432
101587,2,  1,"R",14,"R",11,"R",331,"R",533,"R",7,"R",4,"R",7,"R",2,"R",8,"R",8,"R",498,"R",511,"Z",0,"Z",0,"R",865,"R",1069,"R",25,"R",864,"R",11,"R",9,"R",16,"R",1009,"Z",0,"R",1934
101587,4,  3,"R",2,"R",10,"R",140,"R",803,"R",1,"R",12,"R",5,"R",16,"R",1,"R",22,"R",308,"R",1178,"Z",0,"Z",0,"R",457,"R",2041,"R",12,"R",943,"R",13,"R",21,"R",23,"R",1486,"Z",0,"R",2498
101602,1,999,"Z",0,"Z",0,"R",113,"R",283,"R",2,"R",3,"R",1,"R",5,"R",2,"R",9,"R",677,"R",1072,"R",1,"R",9,"R",796,"R",1381,"Z",0,"R",396,"R",5,"R",6,"R",11,"R",1749,"R",10,"R",2177
101602,2,  1,"Z",0,"Z",0,"R",113,"R",283,"R",2,"R",3,"R",1,"R",5,"R",2,"R",9,"R",677,"R",1072,"R",1,"R",9,"R",796,"R",1381,"Z",0,"R",396,"R",5,"R",6,"R",11,"R",1749,"R",10,"R",2177
